ua	lati	long	prod_s	area_ha	prod	inset	herb	fung	outr	organ	quim	cons	score	var	idade
ua001	-23.482600	-51.275270	1000.000	40.606	24.627	1	1	1	0	0	1	1	0.750	2	60
ua002	-24.138500	-51.508861	133.333	6.574	20.282	1	1	1	0	1	1	1	0.875	3	20
ua003	-24.168194	-51.528056	500.000	15.304	32.672	1	1	1	0	0	1	1	0.750	2	11
ua004	-23.656861	-50.109806	488.600	14.529	33.629	1	1	1	0	0	0	1	0.625	3	15
ua005	-23.890261	-52.614406	50.000	3.679	13.591	0	0	1	0	0	1	1	0.375	2	30
ua006	-23.703139	-51.126356	160.000	3.424	46.731	1	0	1	0	0	1	0	0.500	2	20
ua007	-24.168921	-51.546104	30.000	3.084	9.728	1	1	1	0	0	1	1	0.750	2	42
ua008	-23.658889	-50.803056	300.000	10.184	29.459	0	1	1	0	0	1	1	0.500	2	19
ua009	-23.896085	-50.056035	150.000	3.530	42.493	1	1	1	0	0	1	1	0.750	1	5
ua010	-23.508333	-50.472306	400.000	8.557	46.743	1	1	1	0	0	1	0	0.625	5	19
ua011	-23.412667	-49.659194	2300.000	50.872	45.211	1	1	1	0	0	1	1	0.750	2	48
ua012	-23.231216	-49.705095	1050.000	34.859	30.122	0	1	1	0	0	0	1	0.375	4	20
ua013	-24.185135	-51.412205	50.000	2.068	24.175	1	1	1	0	0	1	1	0.750	2	45
ua014	-23.087772	-50.920456	43.000	4.102	10.482	0	1	0	0	0	1	1	0.375	3	12
ua015	-23.418275	-51.301502	900.000	31.034	29.001	1	1	1	0	0	1	0	0.625	5	79
ua016	-23.132639	-50.580111	266.667	9.098	29.311	1	1	1	0	0	1	1	0.750	3	59
ua017	-23.073589	-50.899169	38.739	3.874	10.000	0	1	0	0	0	1	1	0.375	1	2
ua018	-23.367369	-50.741864	1099.930	22.176	49.600	1	0	1	0	0	1	0	0.500	3	15
ua019	-23.328324	-50.718928	250.000	8.751	28.568	1	1	1	0	1	1	1	0.875	3	22
ua020	-23.752229	-50.017733	300.000	11.158	26.886	1	1	1	0	0	0	1	0.625	3	35
ua021	-23.854471	-50.041832	210.000	5.688	36.921	1	1	1	0	1	1	1	0.875	1	25
UA023	NA	NA	365.000	8.000	45.625	1	0	0	0	1	1	1	0.625	2	25
UA024	NA	NA	200.000	8.000	25.000	1	1	1	1	0	1	0	0.750	6	19
ua022	-23.885229	-50.020264	133.333	6.456	20.652	1	1	1	0	1	1	0	0.750	3	12
ua025	-23.739722	-50.873611	175.000	5.309	32.961	0	0	0	0	0	0	0	0.000	3	50
